Text,Degrees
Argeșel River - Wikipedia,14
Leallah - Wikipedia,10
Kristian Fahlstrøm - Wikipedia,23
FC Spartak Shchyolkovo - Wikipedia,15
Gordon Savage (bishop) - Wikipedia,17
Communist Party of the Soviet Union (1992) - Wikipedia,14
Kuri railway station - Wikipedia,11
Lycée Vincent van Gogh La Haye-Amsterdam - Wikipedia,20
Peter Brotherton - Wikipedia,12
Gavintra Photijak - Wikipedia,14
French Guiana's 1st constituency - Wikipedia,17
The Tree on the Hill - Wikipedia,6
Science in science fiction - Wikipedia,6
Biorhiza pallida - Wikipedia,9
Carbona (moth) - Wikipedia,7
Municipalities of Argentina - Wikipedia,9
Perianal hematoma - Wikipedia,13
1996 Outback Bowl - Wikipedia,22
2004 Wimbledon Championships – Women's Singles Qualifying - Wikipedia,16
Chen I-chuan - Wikipedia,12
East Staffordshire Borough Council elections - Wikipedia,19
Passion (band) - Wikipedia,15
Türnitz - Wikipedia,13
"Hoernerstown, Pennsylvania - Wikipedia",17
Cristian Tello - Wikipedia,12
Eighter Island - Wikipedia,16
The Red Pony (1973 film) - Wikipedia,13
Higashi-Nagahara Station - Wikipedia,9
Theodore W. Greig - Wikipedia,13
"Limerick City by-election, 1879 - Wikipedia",16
Comedy Central (Australia) - Wikipedia,14
For Alto - Wikipedia,13
"Pottageville, Ontario - Wikipedia",18
Jülich-Zülpich Börde - Wikipedia,8
Once Upon a Time... Man - Wikipedia,10
National Drug and Alcohol Research Centre - Wikipedia,15
"Chałupki, Racibórz County - Wikipedia",22
Bhopal – Pratapgarh Express (via Lucknow) - Wikipedia,13
Chills (TV series) - Wikipedia,12
Ilkka Viljanen - Wikipedia,9
San Juan Petlapa - Wikipedia,11
Sulpiride - Wikipedia,17
Bulbophyllum brachyphyton - Wikipedia,11
Calakmul Municipality - Wikipedia,10
Eva Melicharová - Wikipedia,14
Deirdre Macnab - Wikipedia,21
Devil's Tramping Ground - Wikipedia,18
"Boljanovići, Trnovo - Wikipedia",8
X-Rated: The Pop Videos They Tried to Ban - Wikipedia,21
Alfred Wilkinson Johnson - Wikipedia,13
Walter Bäni - Wikipedia,12
Ugolino and His Sons (Carpeaux) - Wikipedia,16
Ugrachandi Nala - Wikipedia,14
1991 World Wrestling Championships - Wikipedia,15
René Borjas - Wikipedia,9
"Deh Sheykh, Sirjan - Wikipedia",18
Richard Susskind - Wikipedia,18
Edward Buck (lawyer) - Wikipedia,16
Domenico Beceri - Wikipedia,8
Chrysasura - Wikipedia,7
List of Inuyasha episodes (season 6) - Wikipedia,10
Cross Creek (Florida) - Wikipedia,7
Jitesh Thakur - Wikipedia,25
Termitidae - Wikipedia,7
Mieruniszki - Wikipedia,8
C18H12O9 - Wikipedia,12
Boxing on NBC - Wikipedia,12
Stokes operator - Wikipedia,9
"Hempton, Oxfordshire - Wikipedia",19
432d Wing - Wikipedia,11
La Espina - Wikipedia,16
E. T. Whittaker - Wikipedia,8
Chris Alli - Wikipedia,13
"James Innes-Ker, 5th Duke of Roxburghe - Wikipedia",15
Ponkunnam Varkey - Wikipedia,27
IPEX syndrome - Wikipedia,12
Hassan Djamous - Wikipedia,11
Floating Seeds Remixed - Wikipedia,11
Donald Mercer Cormie - Wikipedia,13
House at 115 South Main Street - Wikipedia,9
Harry Barton (baseball) - Wikipedia,13
Faridabad Thermal Power Station - Wikipedia,28
"Britt Township, Hancock County, Iowa - Wikipedia",14
Dweir Baabda - Wikipedia,10
Shunfeng'er - Wikipedia,14
Iwate-Wainai Station - Wikipedia,9
Hrishikesh (actor) - Wikipedia,19
Lichenopteryx scotina - Wikipedia,15
Long-legged buzzard - Wikipedia,13
Geethaanjali - Wikipedia,18
1848 Democratic National Convention - Wikipedia,14
E. J. Bibbs - Wikipedia,14
Kimmer Coppejans - Wikipedia,9
Tessolve - Wikipedia,13
Worlds Apart (Vince Gill song) - Wikipedia,14
2005–06 FC Steaua București season - Wikipedia,13
"Fort Mountain (Murray County, Georgia) - Wikipedia",12
Doug Chappel - Wikipedia,15
Hitchcock (automobile) - Wikipedia,13
"Chaudefontaine, Marne - Wikipedia",16
OR4C13 - Wikipedia,11
Van den Herik - Wikipedia,20
Lajoskomárom - Wikipedia,9
Endorsements in the Australian Marriage Law Postal Survey - Wikipedia,12
Ernie Andres - Wikipedia,10
Galveston County Bar Association - Wikipedia,16
Luciano Foschi - Wikipedia,8
Runova X Handover - Wikipedia,16
2007 Hopman Cup - Wikipedia,12
Banana Peel - Wikipedia,19
Branko Kokir - Wikipedia,12
Shire of Coolgardie - Wikipedia,17
Sybra ternatensis - Wikipedia,15
South Korea at the 1986 Asian Winter Games - Wikipedia,9
2013 IK Start season - Wikipedia,12
Jane Morgan (actress) - Wikipedia,6
Ángel Bernabé - Wikipedia,12
The Lee Konitz Quintet - Wikipedia,15
Rezonance Q - Wikipedia,19
Kevin Conboy - Wikipedia,9
"Tysons, Virginia - Wikipedia",13
Jim Prior - Wikipedia,10
Self-embedding - Wikipedia,9
"Admission, discharge, and transfer system - Wikipedia",9
Edge of Darkness - Wikipedia,19
State Constitution Gubernatorial Qualifications in the United States - Wikipedia,7
Sanga da Alemoa - Wikipedia,17
Bernie Smith (baseball) - Wikipedia,10
Milton Neil Campbell - Wikipedia,15
"Bellevue, Western Australia - Wikipedia",17
Roccafiorita - Wikipedia,16
"Carlton, Pennsylvania - Wikipedia",17
Torre de Francia - Wikipedia,11
Jardin botanique de Gondremer - Wikipedia,12
Montérolier - Wikipedia,16
2014 German Formula Three Championship - Wikipedia,14
Closest point method - Wikipedia,16
Peter Szalai - Wikipedia,14
Solidago odora - Wikipedia,13
Zengwen Dam - Wikipedia,14
Vom mutigen Hans - Wikipedia,8
Amar Kudin - Wikipedia,8
Keith Kildey - Wikipedia,13
Ancienne Laiterie de Madame - Wikipedia,13
1896 Boston Beaneaters season - Wikipedia,17
You and Me Equals Us - Wikipedia,18
"Yalquz Aghaj, Meyaneh - Wikipedia",18
Alexandrini - Wikipedia,13
List of radio stations in Louisiana - Wikipedia,11
Sallie Holman - Wikipedia,12
1903–04 Bucknell Bison men's basketball team - Wikipedia,14
Danny Havoc - Wikipedia,14
Cape Cod System - Wikipedia,8
Mochong - Wikipedia,11
"Novosvitlivka, Luhansk Oblast - Wikipedia",9
Bonne of Armagnac - Wikipedia,18
Bredele - Wikipedia,12
Carminow Cross - Wikipedia,26
"Central City, Alabama - Wikipedia",17
"Hogensborg, U.S. Virgin Islands - Wikipedia",15
USS Micka - Wikipedia,13
Durham Bulls Athletic Park - Wikipedia,7
Canadian Jewish Review - Wikipedia,22
White-throated robin-chat - Wikipedia,12
Barrel of Monkeys Productions - Wikipedia,16
Francisco de Paula Andrade Troconis - Wikipedia,10
I'll Sleep When I'm Dead (film) - Wikipedia,17
French ship Royal Louis (1668) - Wikipedia,14
Tłuste - Wikipedia,8
C. B. K. Beachcroft - Wikipedia,13
Jagadeesh Kanna - Wikipedia,12
Niclas Olofsson - Wikipedia,12
Northcutt (surname) - Wikipedia,9
Abdolmoghim Nasehi - Wikipedia,23
Okie Adams - Wikipedia,15
Jim Larsen - Wikipedia,9
Washington Heights (film) - Wikipedia,12
Gare d'Itxassou - Wikipedia,11
"Hartlepool Borough Council election, 1998 - Wikipedia",15
Rahaq - Wikipedia,18
Josie DiVincenzo - Wikipedia,24
Anakasia simplicifolia - Wikipedia,8
"Qaleh Juq, Mahneshan - Wikipedia",18
Tando Sarwar railway station - Wikipedia,25
IDology - Wikipedia,13
Jurak-e Nowzar - Wikipedia,18
"John Alexander (footballer, born 1955) - Wikipedia",12
Cottus koreanus - Wikipedia,23
Dactyladenia johnstonei - Wikipedia,8
Qeshlaq-e Kanehlu - Wikipedia,18
7th Combat Service Support Battalion (Australia) - Wikipedia,13
Omet - Wikipedia,16
Cayuse Pass - Wikipedia,14
Melvin Coombs - Wikipedia,12
Kotorydz - Wikipedia,8
Turkey at the 1984 Summer Olympics - Wikipedia,15
Tony Mitchell (musician) - Wikipedia,22
Ernesto Lomasti - Wikipedia,8
George Petherbridge - Wikipedia,12
Official Vinyl Albums Chart - Wikipedia,10
Fleming 1 - Wikipedia,13
Professor Dinkan - Wikipedia,18
The Life Aquatic Studio Sessions - Wikipedia,19
KTXH - Wikipedia,20
Cheriya Lokavum Valiya Manushyarum - Wikipedia,18
Georgia State Route 92 - Wikipedia,14
U.S. Route 67 in Illinois - Wikipedia,6
10208 Germanicus - Wikipedia,11
Argument (linguistics) - Wikipedia,6
Pedapudi - Wikipedia,27
Modeste Mignon - Wikipedia,22
Ken Wilson (sportscaster) - Wikipedia,12
Ordinary Girl (Alison Moyet song) - Wikipedia,19
Far East scarlet-like fever - Wikipedia,10
Changhua-Kaohsiung Viaduct - Wikipedia,13
Plymouth Life Centre - Wikipedia,10
Richmond Renegades (SPHL) - Wikipedia,14
Peterchurch - Wikipedia,18
Ronald Forbes Adam - Wikipedia,15
Shiraz Solar Power Plant - Wikipedia,11
Abdominal aura - Wikipedia,13
"Saidpur, Bangladesh - Wikipedia",26
Los Mackieavelikos - Wikipedia,18
Bombus alpinus - Wikipedia,8
Drillia lea - Wikipedia,8
"Fincastle, Texas - Wikipedia",17
Trucks (film) - Wikipedia,13
"Valley Springs, South Dakota - Wikipedia",12
Circular Electron Positron Collider - Wikipedia,10
"Atlas, Texas - Wikipedia",17
Werner Korff - Wikipedia,9
Golden Pheasant (horse) - Wikipedia,10
Prorasea fernaldi - Wikipedia,15
OFIS Architects - Wikipedia,9
Luisa Kuliok - Wikipedia,6
Knoxville Symphony Orchestra - Wikipedia,15
Ismael González (boxer) - Wikipedia,11
Lois & Clark: The New Adventures of Superman (season 4) - Wikipedia,20
Marianna Bottini - Wikipedia,17
Football Kingz FC - Wikipedia,13
"Greenville Township, Floyd County, Indiana - Wikipedia",11
Dropped from Heaven - Wikipedia,23
Daria-Larissa Maritczak - Wikipedia,16
Darreh Jir - Wikipedia,18
E. Tautz & Sons - Wikipedia,9
William Whitlock (politician) - Wikipedia,9
Oliver Spencer-Wortley - Wikipedia,19
Gaius Servilius Vatia - Wikipedia,11
Ann Jones (politician) - Wikipedia,18
Dying Young - Wikipedia,18
Caelostomus longissimus - Wikipedia,11
Glenville (Greenwich) - Wikipedia,14
David Barnett (writer) - Wikipedia,15
Tang Dalan - Wikipedia,18
Dave's True Story - Wikipedia,16
Marudhuri Raja - Wikipedia,19
Vought F6U Pirate - Wikipedia,12
Martin Cirque - Wikipedia,21
B. J. Daniels (American football) - Wikipedia,14
NTNUI - Wikipedia,11
Elle (sport) - Wikipedia,12
Fujiwara no Motofusa - Wikipedia,10
Chennai Slam - Wikipedia,29
Ultima VIII: Pagan - Wikipedia,14
Kakeru - Wikipedia,17
Parasuram (2003 film) - Wikipedia,18
"Literally, Right Before Aaron - Wikipedia",23
List of 2008–09 figure skating season music - Wikipedia,15
Time Stand Still (song) - Wikipedia,16
John Kennedy (cricketer) - Wikipedia,13
Mural (1943) - Wikipedia,13
Kragerø Station - Wikipedia,11
Niestronno - Wikipedia,12
Ameur - Wikipedia,13
Ali ebn-e Sahl mausoleum - Wikipedia,14
Burj el-Shemali - Wikipedia,8
Dick Cox - Wikipedia,11
Brinda Sarathy - Wikipedia,26
1844 in Germany - Wikipedia,13
Breeding for heat stress tolerance - Wikipedia,11
Samlah of Masrekah - Wikipedia,10
Three Plus Two - Wikipedia,8
"Guatemalan parliamentary election, 1947 - Wikipedia",17
Bernie Ruoff - Wikipedia,15
Bowen Stassforth - Wikipedia,12
Baku International Jazz Festival - Wikipedia,13
Sabih Mansoor - Wikipedia,17
Pecking order theory - Wikipedia,9
Gare de Bitche - Wikipedia,17
St. George's Bay (Newfoundland and Labrador) - Wikipedia,15
Lipomyces - Wikipedia,7
2004–05 Belarusian Extraliga season - Wikipedia,13
Uncinuliella - Wikipedia,10
Mauro Rossi - Wikipedia,17
Bamberton - Wikipedia,18
Victor Deniran - Wikipedia,9
2011 Green Property Mens Irish Open - Wikipedia,15
United States of America Computing Olympiad - Wikipedia,16
Mazru - Wikipedia,18
Thomas Hannah - Wikipedia,12
Dave Cox - Wikipedia,15
Administrative divisions of Peru - Wikipedia,16
Doug Clement - Wikipedia,11
Edgar and Lucy Henriques House - Wikipedia,13
Kutune Shirka - Wikipedia,11
Coles Together - Wikipedia,12
Flaminio Obelisk - Wikipedia,12
12th Infantry Division (Russian Empire) - Wikipedia,10
Robert Wrenn (golfer) - Wikipedia,10
Fishlabs Entertainment - Wikipedia,17
Trey Mitchell (soccer) - Wikipedia,12
J. Washington Moore - Wikipedia,19
Manuel Minjares Jiménez - Wikipedia,11
Vrtoče (Bosanski Petrovac) - Wikipedia,8
Discovery Bay - Wikipedia,17
Grand National (album) - Wikipedia,10
Marie Červinková-Riegrová - Wikipedia,13
AS Adema - Wikipedia,14
List of Justices of the Supreme Court of Sri Lanka by court composition - Wikipedia,17
Trogoparvus - Wikipedia,15
Mike Kappus - Wikipedia,7
Qataban - Wikipedia,15
Glendale Police Station - Wikipedia,12
Cephalocereus - Wikipedia,7
Chelmsford Hockey Club - Wikipedia,11
Kamayo language - Wikipedia,17
Linda Molin - Wikipedia,13
Arab Cooperation Council - Wikipedia,15
"Croydon London Borough Council election, 1971 - Wikipedia",20
Damian Wleklak - Wikipedia,10
Glenea lepida - Wikipedia,15
Corazones de fuego - Wikipedia,9
Pulse (physics) - Wikipedia,7
Psammodesmus - Wikipedia,8
Haimbachia quiriguella - Wikipedia,15
152nd Infantry Brigade (United Kingdom) - Wikipedia,10
Ostrava Basin - Wikipedia,8
RAF Gaza - Wikipedia,11
Jamaican Patois - Wikipedia,12
Harvard–Yenching Institute - Wikipedia,15
Patrick Hunt (archaeologist) - Wikipedia,10
Super Sodbuster - Wikipedia,13
2013 Valdosta State Blazers football team - Wikipedia,10
Tokuhei Sada - Wikipedia,9
Bensalem Himmich - Wikipedia,12
Butlin's Barry Island - Wikipedia,18
Federation of Estonian Student Unions - Wikipedia,9
Ion Crăciunescu - Wikipedia,12
Martin Benrath - Wikipedia,6
John W. Lord Jr. - Wikipedia,12
Maisonnisses - Wikipedia,16
Moulidars - Wikipedia,7
Boiștea River (Cremenița) - Wikipedia,15
Praczka - Wikipedia,8
Us and the Night - Wikipedia,15
Ariane (automobile) - Wikipedia,11
Gò Công Đông District - Wikipedia,18
Jabalpur Airport - Wikipedia,12
San José Poaquil - Wikipedia,9
Warbreaker - Wikipedia,5
Jim Graham (footballer) - Wikipedia,12
Nyanga River - Wikipedia,10
Pilodeudorix infuscata - Wikipedia,15
Talang Sverige - Wikipedia,13
Jean Poingdestre - Wikipedia,20
Sture Johnsson - Wikipedia,16
Giez - Wikipedia,16
Calice Becker - Wikipedia,16
Epsilon Centauri - Wikipedia,10
François de La Rochefoucauld (writer) - Wikipedia,12
Nice Women - Wikipedia,18
The Bad Life (film) - Wikipedia,11
Brasovsky District - Wikipedia,18
Photonic force microscope - Wikipedia,11
Nemophora violellus - Wikipedia,15
NYC 1978 - Wikipedia,17
Joel Julio - Wikipedia,9
Oak Tree Racing Association - Wikipedia,6
Wielistowo - Wikipedia,8
11th Parliament of Great Britain - Wikipedia,21
Jero Shakpoke - Wikipedia,9
Ditrigona typhodes - Wikipedia,15
The Butterfly Mouse - Wikipedia,19
Imma albofascia - Wikipedia,15
José Marçal - Wikipedia,9
Biographical dictionary - Wikipedia,11
Ron Hillyard - Wikipedia,12
South Pacific convergence zone - Wikipedia,14
Cuban National Series Rookie of the Year Award - Wikipedia,12
Abi Eniola - Wikipedia,17
You Lied - Wikipedia,13
Patrick Deville - Wikipedia,17
1992 Deutsche Tourenwagen Meisterschaft - Wikipedia,13
Animo Locke Technology High School - Wikipedia,9
Spanish International (badminton) - Wikipedia,16
Ennomini - Wikipedia,8
Faye Glenn Abdellah - Wikipedia,13
Sex cords - Wikipedia,12
VII (Just-Ice album) - Wikipedia,14
French battleship Iéna - Wikipedia,16
The Wheel on the School - Wikipedia,12
Dadamraz - Wikipedia,18
Jun ware - Wikipedia,16
Helen Vita - Wikipedia,9
Alex Iwobi - Wikipedia,12
El Altar - Wikipedia,10
Eco-running - Wikipedia,7
"Woodsville, New Jersey - Wikipedia",7
Year of the Flood - Wikipedia,20
"Kells, County Kilkenny - Wikipedia",18
Drifting (1923 film) - Wikipedia,5
X Factor (Albania season 4) - Wikipedia,17
Biodegradable plastic - Wikipedia,12
"Our Lady of Good Counsel Church (Moorestown, New Jersey) - Wikipedia",20
FIS Nordic World Ski Championships 1941 - Wikipedia,17
Ratapong Sirisanont - Wikipedia,12
Villabon - Wikipedia,16
Karl D. Swartzel Jr. - Wikipedia,10
Megachile detersa - Wikipedia,15
Bruce Houghton - Wikipedia,7
Gabriel Knight - Wikipedia,15
Office of National Intelligence (Australia) - Wikipedia,11
Rita Scott - Wikipedia,16
Shakthi Leelai - Wikipedia,18
Stevia rebaudiana - Wikipedia,8
"United College of Aviation, Science & Management - Wikipedia",9
Julio Gutiérrez García - Wikipedia,11
László Lakos - Wikipedia,8
Brian Floca - Wikipedia,17
Eddie Ward - Wikipedia,17
"Revolutionary Communist Party (UK, 1978) - Wikipedia",9
Giachinoana - Wikipedia,15
Vidura Adikari - Wikipedia,13
Beat (name) - Wikipedia,20
Hamburg chicken - Wikipedia,20
Princess Charlotte's Battery - Wikipedia,8
Étienne Anheim - Wikipedia,10
"Karszew, Greater Poland Voivodeship - Wikipedia",8
Chery E8 - Wikipedia,15
Mierzanowice - Wikipedia,8
"Sant'Agostino, San Ginesio - Wikipedia",23
Finavia - Wikipedia,9
Crambus leuconotus - Wikipedia,15
Mananasy - Wikipedia,26
Stowupland - Wikipedia,21
It's Nice to Be With You - Wikipedia,26
Jean Darnell - Wikipedia,12
Article X of the Texas Constitution - Wikipedia,8
Prayers (In This Moment song) - Wikipedia,12
Big Rock Falls - Wikipedia,14
University of Rhode Island - Wikipedia,11
Mindanao brown dove - Wikipedia,10
Prosje - Wikipedia,8
Euphrasia ruptura - Wikipedia,8
Austrogomphus ochraceus - Wikipedia,15
1939 Detroit Titans football team - Wikipedia,24
Eugene Kang - Wikipedia,10
Rajdharma - Wikipedia,21
"West Portal, New Jersey - Wikipedia",7
Central economic region - Wikipedia,16
Dick Loftus - Wikipedia,11
Andrew Price-Smith - Wikipedia,20
Roman Rasskazov - Wikipedia,17
Price Produce and Service Station - Wikipedia,8
2016 Conference USA football season - Wikipedia,14
Achal Bakeri - Wikipedia,26
John Baptist Jaspers - Wikipedia,10
It's Up to You (Girlfriend album) - Wikipedia,14
Pretty Hate Machine - Wikipedia,13
1997 Philadelphia Phillies season - Wikipedia,17
Wait Wait... Don't Tell Me! - Wikipedia,19
Rapture dream - Wikipedia,12
Lori Wilde - Wikipedia,11
Seibu 10000 series - Wikipedia,13
744th Bombardment Squadron - Wikipedia,11
Department of Public Expenditure and Reform - Wikipedia,9
Ronald Reagan Presidential Library - Wikipedia,11
Reinhold Fanz - Wikipedia,12
Saviem SM - Wikipedia,12
Elgar's Special Survey - Wikipedia,17
Trifluridine/tipiracil - Wikipedia,17
Lactarius longipilus - Wikipedia,8
North Carolina Transportation Museum - Wikipedia,13
Mysterious Castles of Clay - Wikipedia,12
Guilarte River - Wikipedia,22
São Miguel de Taipu - Wikipedia,16
Szczęśliwicka Hill - Wikipedia,11
Silent Pool - Wikipedia,11
Antisemitic boycotts - Wikipedia,9
Helicodiscus parallelus - Wikipedia,8
Fishing bait - Wikipedia,23
Honeaite - Wikipedia,12
Frank Jones (priest) - Wikipedia,25
University of Southern Denmark - Wikipedia,8
Silvertone SS11 Revolver - Wikipedia,24
Kaberamaido - Wikipedia,12
Vazper - Wikipedia,18
